,timestamp,experiment_ID,subject,r_len,handedness,vision,colorvision,age,gender,nationality,r_type,IOS,key_press,rt,trial_stim
0,2022_Jan_26_1436,55243,31698,26 years,Right,Yes,No,58,Female,Danish,Romantic,6,p,0.511322500067763,BL
1,2022_Jan_26_1436,55243,31698,26 years,Right,Yes,No,58,Female,Danish,Romantic,6,p,0.5377641000086442,BM
2,2022_Jan_26_1436,55243,31698,26 years,Right,Yes,No,58,Female,Danish,Romantic,6,p,0.5133799999020994,BR
3,2022_Jan_26_1436,55243,86063,26 years,Right,Yes,No,56,Male,dk,Family,3,w,0.47918489994481206,YR
4,2022_Jan_26_1436,55243,86063,26 years,Right,Yes,No,56,Male,dk,Family,3,w,0.3896476000081748,YL
5,2022_Jan_26_1436,55243,86063,26 years,Right,Yes,No,56,Male,dk,Family,3,w,0.36024589999578893,YL
6,2022_Jan_26_1436,55243,31698,26 years,Right,Yes,No,58,Female,Danish,Romantic,6,p,0.5270737000973895,BM
7,2022_Jan_26_1436,55243,86063,26 years,Right,Yes,No,56,Male,dk,Family,3,w,0.5213816000614315,YM
8,2022_Jan_26_1436,55243,86063,26 years,Right,Yes,No,56,Male,dk,Family,3,w,0.39519780001137406,YL
9,2022_Jan_26_1436,55243,86063,26 years,Right,Yes,No,56,Male,dk,Family,3,w,0.4383761000353843,YL
10,2022_Jan_26_1436,55243,86063,26 years,Right,Yes,No,56,Male,dk,Family,3,w,0.3321850000647828,YR
11,2022_Jan_26_1436,55243,31698,26 years,Right,Yes,No,58,Female,Danish,Romantic,6,p,0.40580349997617304,BR
12,2022_Jan_26_1436,55243,86063,26 years,Right,Yes,No,56,Male,dk,Family,3,w,0.3544806999852881,YL
13,2022_Jan_26_1436,55243,86063,26 years,Right,Yes,No,56,Male,dk,Family,3,w,0.39992230001371354,YL
14,2022_Jan_26_1436,55243,31698,26 years,Right,Yes,No,58,Female,Danish,Romantic,6,p,0.6002688000444323,BL
15,2022_Jan_26_1436,55243,86063,26 years,Right,Yes,No,56,Male,dk,Family,3,w,0.34559259994421154,YR
16,2022_Jan_26_1436,55243,31698,26 years,Right,Yes,No,58,Female,Danish,Romantic,6,p,0.3991790000582114,BL
17,2022_Jan_26_1436,55243,31698,26 years,Right,Yes,No,58,Female,Danish,Romantic,6,p,0.6428203999530524,BM
18,2022_Jan_26_1436,55243,31698,26 years,Right,Yes,No,58,Female,Danish,Romantic,6,p,0.6473770999582484,BR
19,2022_Jan_26_1436,55243,86063,26 years,Right,Yes,No,56,Male,dk,Family,3,w,0.3681069000158459,YL
20,2022_Jan_26_1436,55243,31698,26 years,Right,Yes,No,58,Female,Danish,Romantic,6,p,0.5896982999984175,BL
21,2022_Jan_26_1436,55243,31698,26 years,Right,Yes,No,58,Female,Danish,Romantic,6,p,0.5740794000448659,BR
22,2022_Jan_26_1436,55243,31698,26 years,Right,Yes,No,58,Female,Danish,Romantic,6,p,0.5885317999636754,BM
23,2022_Jan_26_1436,55243,31698,26 years,Right,Yes,No,58,Female,Danish,Romantic,6,p,0.5127469999715686,BR
24,2022_Jan_26_1436,55243,31698,26 years,Right,Yes,No,58,Female,Danish,Romantic,6,p,0.6954632999841124,BL
25,2022_Jan_26_1436,55243,86063,26 years,Right,Yes,No,56,Male,dk,Family,3,w,0.40636659995652735,YM
26,2022_Jan_26_1436,55243,31698,26 years,Right,Yes,No,58,Female,Danish,Romantic,6,p,0.41967850003857166,BR
27,2022_Jan_26_1436,55243,86063,26 years,Right,Yes,No,56,Male,dk,Family,3,w,0.4205294999992475,YM
28,2022_Jan_26_1436,55243,86063,26 years,Right,Yes,No,56,Male,dk,Family,3,w,0.40616940008476377,YL
29,2022_Jan_26_1436,55243,31698,26 years,Right,Yes,No,58,Female,Danish,Romantic,6,p,0.5367740000365302,BL
30,2022_Jan_26_1436,55243,86063,26 years,Right,Yes,No,56,Male,dk,Family,3,w,0.44120480003766716,YM
31,2022_Jan_26_1436,55243,31698,26 years,Right,Yes,No,58,Female,Danish,Romantic,6,p,0.5814842999679968,BR
32,2022_Jan_26_1436,55243,86063,26 years,Right,Yes,No,56,Male,dk,Family,3,w,0.4067134000360966,YR
